rank,country,upload_speed,download_speed,latency
1,Qatar,35.36,473.58,23
2,United Arab Emirates,37.75,462.61,23
3,Kuwait,29.28,277.67,21
4,Norway,31.34,211.30,29
5,Denmark,29.03,232.84,23
6,South Korea,28.10,285.04,52
7,China,32.51,186.28,40
8,Saudi Arabia,22.50,222.37,33
9,Netherlands,27.98,140.99,25
10,Bahrain,22.26,204.80,21
11,United States,16.75,215.03,37
12,India,16.39,173.42,39
13,Singapore,23.70,199.64,22
14,France,16.23,174.80,34
15,Finland,21.53,150.69,24
16,Bulgaria,26.76,195.13,25
17,Lithuania,21.98,161.28,24
18,Sweden,24.99,168.56,27
19,Malaysia,28.58,187.86,28
20,Croatia,24.30,165.85,26
21,Estonia,20.53,157.40,23
22,Australia,15.96,153.12,27
23,Switzerland,28.49,161.40,23
24,North Macedonia,32.17,169.73,22
25,Czechia,29.74,123.03,25
26,Latvia,17.23,141.97,22
27,Canada,18.32,134.15,31
28,Portugal,22.28,178.16,25
29,Taiwan,23.37,145.15,23
30,Austria,21.03,109.77,26
31,Greece,21.69,150.72,28
32,Oman,19.77,136.33,28
33,Belgium,20.02,138.68,29
34,Slovenia,17.66,124.97,22
35,New Zealand,19.74,154.46,36
36,Cyprus,25.25,164.68,21
37,Brazil,21.63,185.61,32
38,Romania,21.06,99.24,26
39,Hong Kong (SAR),22.65,119.31,24
40,Germany,20.16,119.80,31
41,Montenegro,23.23,97.22,21
42,Poland,17.34,113.72,30
43,Slovakia,19.53,91.89,24
44,United Kingdom,13.65,108.18,39
45,Hungary,22.80,99.25,26
46,Serbia,20.11,68.57,23
47,Italy,15.51,101.35,38
48,Vietnam,22.25,64.19,26
49,Azerbaijan,19.17,67.46,23
50,South Africa,14.15,100.30,29
51,Thailand,20.26,92.99,29
52,Albania,17.75,73.48,24
53,Spain,19.42,130.19,38
54,Kazakhstan,20.63,104.76,30
55,Japan,13.41,84.06,43
56,Morocco,16.24,62.56,30
57,Israel,14.39,99.20,29
58,Turkey,20.02,67.13,30
59,Ireland,15.38,93.95,30
60,Georgia,18.46,57.85,28
61,Chile,18.33,78.36,33
62,Kosovo,20.07,94.27,23
63,Moldova,19.23,81.48,22
64,Guatemala,24.44,102.07,30
65,Iran,12.90,58.10,36
66,Kyrgyzstan,16.42,51.65,26
67,Lebanon,13.46,45.68,27
68,Costa Rica,14.14,51.86,29
69,Philippines,11.01,71.19,26
70,Argentina,12.01,63.20,36
71,Honduras,16.33,52.41,65
72,Iraq,18.47,41.29,27
73,Mexico,16.94,67.04,50
74,Myanmar (Burma),16.74,40.00,35
75,Armenia,16.54,43.60,23
76,Dominican Republic,16.86,110.60,27
77,Uzbekistan,15.74,63.62,28
78,El Salvador,14.75,38.71,25
79,Laos,16.79,49.30,32
80,Indonesia,16.18,39.26,31
81,Tanzania,15.07,54.81,33
82,Kenya,14.97,58.30,36
83,Cambodia,14.22,38.93,29
84,Jordan,18.76,53.07,20
85,Tunisia,18.05,40.95,25
86,Russia,11.52,39.73,42
87,Egypt,9.42,36.17,37
88,Algeria,14.26,36.08,33
89,Ecuador,13.28,36.32,36
90,Bangladesh,14.22,34.22,31
91,Bosnia and Herzegovina,13.51,32.65,27
92,Nigeria,15.81,68.41,47
93,Ukraine,13.73,32.09,36
94,Peru,16.12,31.58,30
95,Panama,16.31,29.56,25
96,Paraguay,10.07,26.66,39
97,Pakistan,11.81,25.51,34
98,Sri Lanka,10.06,42.85,25
99,Nicaragua,13.57,31.48,31
100,Colombia,14.96,54.06,38
101,Libya,8.15,21.23,33
102,Mongolia,9.98,20.39,30
103,Syria,7.25,21.35,47
104,Venezuela,9.08,21.49,49
105,Belarus,11.29,26.92,34
106,Bolivia,12.28,19.23,33
107,Yemen,8.13,10.63,54
108,Cuba,5.24,8.29,135
